PlaceName,State,TCUSA,Years,TCPopulation,pop_2012,pct_poverty,hh_inc_med,fam_inc_med,pct_hsgrad,pct_bachdeg,pct_ownocc,pct_rentocc,hm_val_med,pct_white,age_med,pct_u18,pct_o65,region9,tcusa8nn
Hooksett town,NH,0,0,-99,13469,0.03,86258,99133,0.931,0.352,0.882,0.118,249400,0.9576,39.5,0.207,0.13,New England,1
Hampton Bays CDP,NY,0,0,-99,13477,0.0793,73188,79481,0.8821,0.3148,0.6949,0.3051,480000,0.9254,40.8,0.1823,0.1732,Middle Atlantic,0
Bellefontaine city,OH,1,34,13370,13478,0.203,39593,44370,0.8546,0.1676,0.561,0.439,111100,0.8981,35.5,0.2714,0.1413,East North Central,1
Connersville city,IN,0,0,-99,13479,0.2437,29939,38265,0.7663,0.0693,0.6116,0.3884,67600,0.9512,38,0.2508,0.1719,East North Central,0
Beach Park village,IL,0,0,-99,13482,0.0583,68967,76351,0.8923,0.2077,0.8698,0.1302,177400,0.7198,37.4,0.2529,0.1002,East North Central,1
Bemidji city,MN,1,24,14306,13485,0.207,33447,44871,0.9056,0.2984,0.5,0.5,121100,0.8266,29.6,0.1841,0.1694,West North Central,0
Athens city,TN,1,33,13489,13492,0.2616,32392,43681,0.8048,0.2343,0.5567,0.4433,111000,0.8648,37,0.24,0.1576,East South Central,1
Palos Verdes Estates city,CA,0,0,-99,13493,0.0307,152068,181648,0.9779,0.7647,0.8762,0.1238,1000001,0.7597,48.6,0.244,0.2586,Pacific,0
Swansea village,IL,0,0,-99,13495,0.1029,62760,80496,0.9416,0.3405,0.7632,0.2368,162500,0.7529,40.7,0.2425,0.1594,East North Central,2
Auburn city,CA,0,0,-99,13502,0.1265,59238,82848,0.9416,0.3393,0.5552,0.4448,375900,0.8943,45.3,0.1933,0.1775,Pacific,0
Timberlake CDP,VA,0,0,-99,13504,0.1149,50243,58237,0.8809,0.1774,0.6812,0.3188,170000,0.9141,38,0.2196,0.1629,South Atlantic,1
Hewitt city,TX,0,0,-99,13505,0.0579,69504,71442,0.9279,0.3211,0.7493,0.2507,134500,0.8235,36.5,0.2437,0.1094,West South Central,1
Otsego city,MN,0,0,-99,13506,0.029,72867,79296,0.9633,0.2574,0.9432,0.0568,195300,0.9337,33.4,0.2894,0.0689,West North Central,0
Mount Holly city,NC,0,0,-99,13506,0.1371,50590,63505,0.8479,0.2546,0.6525,0.3475,153300,0.7724,36,0.2521,0.1139,South Atlantic,2
Alpine CDP,CA,0,0,-99,13511,0.0673,75151,87995,0.9107,0.3002,0.6928,0.3072,524000,0.8606,46.7,0.1953,0.1847,Pacific,0
University Heights city,OH,1,36,13540,13514,0.0886,72161,94114,0.9604,0.645,0.7055,0.2945,164700,0.7258,31.3,0.2304,0.112,East North Central,4
Zephyrhills city,FL,1,10,16000,13515,0.1451,36343,41564,0.8181,0.1354,0.6688,0.3312,98500,0.9135,52,0.1612,0.2811,South Atlantic,1
River Ridge CDP,LA,0,0,-99,13518,0.0948,57500,76843,0.9025,0.382,0.678,0.322,240200,0.8532,47,0.2112,0.1815,West South Central,1
Kent town,NY,0,0,-99,13520,0.045,89783,104667,0.94,0.325,0.871,0.129,328100,0.8931,43.9,0.216,0.137,Middle Atlantic,0
Stanford CDP,CA,0,0,-99,13523,0.1855,55299,155956,0.9897,0.9231,0.2853,0.7147,1000001,0.5948,21.8,0.0677,0.0558,Pacific,3
Worthington city,OH,1,25,15000,13524,0.0309,83838,104219,0.975,0.6621,0.805,0.195,235400,0.9218,40.9,0.2516,0.1656,East North Central,4
Warrensville Heights city,OH,0,0,-99,13532,0.1822,35926,40326,0.8704,0.1551,0.4295,0.5705,99100,0.0393,39.4,0.2459,0.1685,East North Central,4
The Dalles city,OR,0,0,-99,13537,0.1281,41639,47659,0.8625,0.2156,0.6296,0.3704,179200,0.897,40.5,0.2515,0.2121,Pacific,0
Skippack township,PA,0,0,-99,13541,0.028,107373,122917,0.896,0.375,0.865,0.135,356900,0.8015,39.2,0.214,0.102,Middle Atlantic,0
Kerman city,CA,0,0,-99,13544,0.2313,46834,48770,0.6172,0.1165,0.5762,0.4238,172200,0.7316,28.7,0.3421,0.0829,Pacific,0
Wixom city,MI,0,0,-99,13544,0.1218,45724,74189,0.9256,0.3714,0.5055,0.4945,187500,0.8079,31.5,0.2658,0.0601,East North Central,6
Marshall city,MN,0,0,-99,13551,0.2006,42266,70714,0.9075,0.3243,0.5491,0.4509,150000,0.8753,30.2,0.2234,0.1161,West North Central,1
La Grange Park village,IL,1,27,13579,13552,0.0565,66826,90107,0.9474,0.4483,0.6714,0.3286,340000,0.903,42.5,0.2403,0.1758,East North Central,3
Riverdale village,IL,1,13,13549,13552,0.2155,40650,48105,0.8725,0.1398,0.488,0.512,95800,0.0575,32.1,0.2777,0.062,East North Central,2
Salisbury township,PA,0,0,-99,13558,0.037,72967,86926,0.91,0.289,0.87,0.13,213600,0.8931,47.9,0.182,0.2,Middle Atlantic,3
Levelland city,TX,0,0,-99,13558,0.18,50202,58119,0.7391,0.1972,0.6646,0.3354,84600,0.8181,31.1,0.2628,0.1343,West South Central,0
Oldsmar city,FL,1,14,14000,13565,0.1136,53149,59219,0.8873,0.2398,0.7064,0.2936,166100,0.8285,37.9,0.2394,0.1187,South Atlantic,1
Greenlawn CDP,NY,0,0,-99,13565,0.0741,95833,117039,0.9321,0.3616,0.8157,0.1843,450700,0.775,41.2,0.2509,0.1701,Middle Atlantic,2
McMinnville city,TN,1,13,13000,13567,0.2699,27545,36416,0.6986,0.1059,0.5159,0.4841,88300,0.8838,38.8,0.2324,0.1823,East South Central,0
Richton Park village,IL,0,0,-99,13568,0.1036,60516,70542,0.9302,0.3074,0.6355,0.3645,168600,0.1386,37.6,0.2486,0.0884,East North Central,3
Chesterton town,IN,1,18,13068,13571,0.0721,64183,75807,0.9446,0.3159,0.7085,0.2915,174500,0.9187,35.5,0.2732,0.1128,East North Central,1
Ammon city,ID,1,12,13800,13575,0.0973,56808,62571,0.9386,0.3055,0.7859,0.2141,168300,0.9128,28.4,0.3486,0.0922,Mountain,4
Brecksville city,OH,1,20,13967,13576,0.0378,91282,111667,0.9406,0.5002,0.8639,0.1361,249500,0.9456,46.7,0.2237,0.181,East North Central,4
Metuchen borough,NJ,1,7,13574,13585,0.031,101793,133564,0.961,0.59,0.796,0.204,394300,0.7771,41.1,0.238,0.138,Middle Atlantic,2
Lemon Hill CDP,CA,0,0,-99,13587,0.3218,29991,30429,0.5848,0.0722,0.3974,0.6026,103000,0.4308,29.7,0.324,0.0871,Pacific,2
